id;code;ticket_order_code;date;details;status;payment_method;payment_date;payment_amount
8b88d554-a6e5-4afb-a355-979eb45785b7;valuable;inside amongst how;2025-02-23T11:42:23;nor indeed authorized;PAID;PAYPAL;2025-02-23T06:30:40;32738.67
010fe97b-412a-4013-8249-c260938bd9cf;holster gosh beloved;amongst bolster gadzooks;2025-02-22T21:13:39;wonderful yuck restfully;PAID;PAYPAL;2025-02-22T15:58:38;30762.08
dacdf89c-52b5-42af-a48b-c23fb4e15830;invite crackle;toward;2025-02-23T03:18:26;now hm;ISSUED;CASH_ON_DELIVERY;2025-02-22T23:06:42;13432.03
486704f7-9a44-4e73-9966-1cc61d983149;produce continually;burly;2025-02-23T02:09:20;violent phooey euphonium;ISSUED;CASH_ON_DELIVERY;2025-02-23T07:54:36;11584.02
3f078854-3057-4402-b16a-6171e65e8e22;because eek;enhance harmful tune-up;2025-02-23T14:05:40;boggle who;CANCELLED;CREDIT_CARD;2025-02-22T17:50:05;8494.81
bfcb3f82-ac7f-47ae-bd76-3a03fcadccaa;wrongly requirement lest;cutover;2025-02-22T21:55:09;inasmuch bide mathematics;CANCELLED;CASH_ON_DELIVERY;2025-02-22T18:01:54;1189.34
ce0568e0-55a1-4aeb-8440-6dc5d4fc4986;sad boldly final;versus conceptualize;2025-02-23T14:24:46;hubris;CANCELLED;PAYPAL;2025-02-23T03:33:32;29457.7
fe9b01b9-1161-45ed-9088-aa69ef553311;beside;arrange;2025-02-23T12:51:09;vista offset;PAID;CASH_ON_DELIVERY;2025-02-22T16:53:16;24555.64
fc32bb75-2563-4892-ac9c-9a7f1da5a48a;ah;furthermore reproachfully banish;2025-02-23T11:09:17;ugh;PAID;CREDIT_CARD;2025-02-23T01:47:15;28755.32
6bbb3e60-da07-48cb-9d99-d4a4b12f6e41;obedience peony;word;2025-02-22T16:23:55;as why kielbasa;CANCELLED;CASH_ON_DELIVERY;2025-02-22T23:11:26;10005.21
